"","reg","deaths","date","year","weekno"
"246","East",897,2010-06-25,2010,26
"247","London",805,2010-06-25,2010,26
"248","South East",1283,2010-06-25,2010,26
"249","South West",848,2010-06-25,2010,26
"250","Wales",510,2010-06-25,2010,26
"251","North East",446,2010-07-02,2010,27
"252","North West",1236,2010-07-02,2010,27
"253","Yorkshire and The Humber",851,2010-07-02,2010,27
"254","East Midlands",734,2010-07-02,2010,27
"255","West Midlands",924,2010-07-02,2010,27
"256","East",920,2010-07-02,2010,27
"257","London",887,2010-07-02,2010,27
"258","South East",1425,2010-07-02,2010,27
"259","South West",939,2010-07-02,2010,27
"260","Wales",592,2010-07-02,2010,27
"261","North East",507,2010-07-09,2010,28
"262","North West",1163,2010-07-09,2010,28
"263","Yorkshire and The Humber",814,2010-07-09,2010,28
"264","East Midlands",694,2010-07-09,2010,28
"265","West Midlands",855,2010-07-09,2010,28
"266","East",886,2010-07-09,2010,28
"267","London",861,2010-07-09,2010,28
"268","South East",1315,2010-07-09,2010,28
"269","South West",950,2010-07-09,2010,28
"270","Wales",555,2010-07-09,2010,28
"271","North East",444,2010-07-16,2010,29
"272","North West",1153,2010-07-16,2010,29
"273","Yorkshire and The Humber",829,2010-07-16,2010,29
"274","East Midlands",753,2010-07-16,2010,29
"275","West Midlands",867,2010-07-16,2010,29
"276","East",851,2010-07-16,2010,29
"277","London",900,2010-07-16,2010,29
"278","South East",1285,2010-07-16,2010,29
"279","South West",862,2010-07-16,2010,29
"280","Wales",573,2010-07-16,2010,29
"281","North East",442,2010-07-23,2010,30
"282","North West",1108,2010-07-23,2010,30
"283","Yorkshire and The Humber",857,2010-07-23,2010,30
"284","East Midlands",685,2010-07-23,2010,30
"285","West Midlands",837,2010-07-23,2010,30
"286","East",901,2010-07-23,2010,30
"287","London",852,2010-07-23,2010,30
"288","South East",1154,2010-07-23,2010,30
"289","South West",875,2010-07-23,2010,30
"290","Wales",528,2010-07-23,2010,30
"291","North East",453,2010-07-30,2010,31
"292","North West",1155,2010-07-30,2010,31
"293","Yorkshire and The Humber",858,2010-07-30,2010,31
"294","East Midlands",629,2010-07-30,2010,31
"295","West Midlands",869,2010-07-30,2010,31
"296","East",882,2010-07-30,2010,31
"297","London",777,2010-07-30,2010,31
"298","South East",1187,2010-07-30,2010,31
"299","South West",873,2010-07-30,2010,31
"300","Wales",552,2010-07-30,2010,31
"301","North East",479,2010-08-06,2010,32
"302","North West",1110,2010-08-06,2010,32
"303","Yorkshire and The Humber",849,2010-08-06,2010,32
"304","East Midlands",647,2010-08-06,2010,32
"305","West Midlands",894,2010-08-06,2010,32
"306","East",883,2010-08-06,2010,32
"307","London",826,2010-08-06,2010,32
"308","South East",1303,2010-08-06,2010,32
"309","South West",906,2010-08-06,2010,32
"310","Wales",538,2010-08-06,2010,32
"311","North East",417,2010-08-13,2010,33
"312","North West",1138,2010-08-13,2010,33
"313","Yorkshire and The Humber",844,2010-08-13,2010,33
"314","East Midlands",696,2010-08-13,2010,33
"315","West Midlands",893,2010-08-13,2010,33
