"","week","deaths","age","year","weekno","reg"
"142",2010-10-08,9193,"Total",2010,41,"England & Wales"
"143",2013-11-08,9449,"Total",2013,45,"England & Wales"
"144",2019-11-08,10697,"Total",2019,45,"England & Wales"
"145",2017-12-08,10781,"Total",2017,49,"England & Wales"
"146",2015-01-09,16237,"Total",2015,2,"England & Wales"
"147",2018-02-09,12490,"Total",2018,6,"England & Wales"
"148",2012-03-09,10505,"Total",2012,10,"England & Wales"
"149",2018-03-09,12997,"Total",2018,10,"England & Wales"
"150",2010-04-09,9729,"Total",2010,15,"England & Wales"
"151",2014-05-09,8613,"Total",2014,19,"England & Wales"
"152",2017-06-09,9763,"Total",2017,23,"England & Wales"
"153",2010-07-09,8625,"Total",2010,28,"England & Wales"
"154",2013-08-09,8280,"Total",2013,32,"England & Wales"
"155",2019-08-09,9122,"Total",2019,32,"England & Wales"
"156",2011-09-09,8767,"Total",2011,36,"England & Wales"
"157",2016-09-09,9397,"Total",2016,37,"England & Wales"
"158",2015-10-09,9775,"Total",2015,41,"England & Wales"
"159",2012-11-09,9682,"Total",2012,45,"England & Wales"
"160",2018-11-09,10151,"Total",2018,45,"England & Wales"
"161",2011-12-09,9828,"Total",2011,49,"England & Wales"
"162",2016-12-09,11223,"Total",2016,50,"England & Wales"
"163",2014-01-10,11845,"Total",2014,2,"England & Wales"
"164",2020-01-10,14057,"Total",2020,2,"England & Wales"
"165",2012-02-10,10286,"Total",2012,6,"England & Wales"
"166",2017-02-10,12261,"Total",2017,6,"England & Wales"
"167",2017-03-10,11077,"Total",2017,10,"England & Wales"
"168",2015-04-10,10089,"Total",2015,15,"England & Wales"
"169",2020-04-10,18516,"Total",2020,15,"England & Wales"
"170",2013-05-10,8813,"Total",2013,19,"England & Wales"
"171",2019-05-10,9055,"Total",2019,19,"England & Wales"
"172",2011-06-10,9251,"Total",2011,23,"England & Wales"
"173",2016-06-10,9873,"Total",2016,24,"England & Wales"
"174",2015-07-10,9015,"Total",2015,28,"England & Wales"
"175",2012-08-10,8808,"Total",2012,32,"England & Wales"
